participant_id,trial_type,trial_index,age,gender,language,amE,comments,expression,choice,nResponse,cc
96a94cfc-adbc-43e8-9ee4-d16307525b07,survey-multi-choice,10,26,male,English,AmE,""":""""}",discover,"No,",1,lost his key
48027f4d-8d5c-4867-90f4-1af8f4394ef8,survey-multi-choice,3,45,female,English,AmE,""":""""}",confirm,"No,",1,broke the plate
48027f4d-8d5c-4867-90f4-1af8f4394ef8,survey-multi-choice,4,45,female,English,AmE,""":""""}",discover,"No,",1,cheated on his wife
48027f4d-8d5c-4867-90f4-1af8f4394ef8,survey-multi-choice,5,45,female,English,AmE,""":""""}",be right,"No,",1,bought a new car
48027f4d-8d5c-4867-90f4-1af8f4394ef8,survey-multi-choice,7,45,female,English,AmE,""":""""}",confess,"No,",1,stole the money
48027f4d-8d5c-4867-90f4-1af8f4394ef8,survey-multi-choice,8,45,female,English,AmE,""":""""}",fnrrc,"No,",1,saw the murder
48027f4d-8d5c-4867-90f4-1af8f4394ef8,survey-multi-choice,10,45,female,English,AmE,""":""""}",mnrrc,"No,",1,lost his key
48027f4d-8d5c-4867-90f4-1af8f4394ef8,survey-multi-choice,11,45,female,English,AmE,""":""""}",know,"No,",1,ate the last cupcake
ae731735-895f-48be-9be2-f41950706c60,survey-multi-choice,3,38,male,English,AmE,""":""no issues""}",confess,"No,",1,lost his key
ae731735-895f-48be-9be2-f41950706c60,survey-multi-choice,4,38,male,English,AmE,""":""no issues""}",know,"No,",1,ate the last cupcake
ae731735-895f-48be-9be2-f41950706c60,survey-multi-choice,5,38,male,English,AmE,""":""no issues""}",mnrrc,"No,",1,bought a new car
ae731735-895f-48be-9be2-f41950706c60,survey-multi-choice,6,38,male,English,AmE,""":""no issues""}",be right,"No,",1,stole the money
ae731735-895f-48be-9be2-f41950706c60,survey-multi-choice,7,38,male,English,AmE,""":""no issues""}",fnrrc,"Yes, but",0,broke the plate
ae731735-895f-48be-9be2-f41950706c60,survey-multi-choice,8,38,male,English,AmE,""":""no issues""}",discover,"No,",1,cheated on his wife
ae731735-895f-48be-9be2-f41950706c60,survey-multi-choice,11,38,male,English,AmE,""":""no issues""}",confirm,"No,",1,saw the murder
95d1107a-6fb2-4f0e-aa2d-fb3b811905c9,survey-multi-choice,4,34,male,English,AmE,""":""""}",fnrrc,"Yes, but",0,saw the murder
95d1107a-6fb2-4f0e-aa2d-fb3b811905c9,survey-multi-choice,6,34,male,English,AmE,""":""""}",confess,"No,",1,bought a new car
95d1107a-6fb2-4f0e-aa2d-fb3b811905c9,survey-multi-choice,7,34,male,English,AmE,""":""""}",know,"No,",1,broke the plate
95d1107a-6fb2-4f0e-aa2d-fb3b811905c9,survey-multi-choice,8,34,male,English,AmE,""":""""}",be right,"No,",1,stole the money
95d1107a-6fb2-4f0e-aa2d-fb3b811905c9,survey-multi-choice,9,34,male,English,AmE,""":""""}",confirm,"No,",1,ate the last cupcake
95d1107a-6fb2-4f0e-aa2d-fb3b811905c9,survey-multi-choice,10,34,male,English,AmE,""":""""}",mnrrc,"No,",1,lost his key
95d1107a-6fb2-4f0e-aa2d-fb3b811905c9,survey-multi-choice,11,34,male,English,AmE,""":""""}",discover,"No,",1,cheated on his wife
22fa8d0a-ba14-4d28-9239-010cea7baeaf,survey-multi-choice,3,36,male,English,AmE,""":""""}",be right,"No,",1,cheated on his wife
22fa8d0a-ba14-4d28-9239-010cea7baeaf,survey-multi-choice,4,36,male,English,AmE,""":""""}",confirm,"No,",1,lost his key
22fa8d0a-ba14-4d28-9239-010cea7baeaf,survey-multi-choice,5,36,male,English,AmE,""":""""}",discover,"No,",1,stole the money
22fa8d0a-ba14-4d28-9239-010cea7baeaf,survey-multi-choice,6,36,male,English,AmE,""":""""}",fnrrc,"Yes, but",0,broke the plate
22fa8d0a-ba14-4d28-9239-010cea7baeaf,survey-multi-choice,7,36,male,English,AmE,""":""""}",confess,"No,",1,ate the last cupcake
22fa8d0a-ba14-4d28-9239-010cea7baeaf,survey-multi-choice,8,36,male,English,AmE,""":""""}",know,"No,",1,bought a new car
22fa8d0a-ba14-4d28-9239-010cea7baeaf,survey-multi-choice,10,36,male,English,AmE,""":""""}",mnrrc,"No,",1,saw the murder
33cd64a4-b31c-49dc-9ad8-d23c1f69b301,survey-multi-choice,3,25,male,English,AmE,""":""I have an English BA.""}",be right,"No,",1,lost his key
33cd64a4-b31c-49dc-9ad8-d23c1f69b301,survey-multi-choice,4,25,male,English,AmE,""":""I have an English BA.""}",confirm,"No,",1,ate the last cupcake
33cd64a4-b31c-49dc-9ad8-d23c1f69b301,survey-multi-choice,5,25,male,English,AmE,""":""I have an English BA.""}",fnrrc,"No,",1,cheated on his wife
33cd64a4-b31c-49dc-9ad8-d23c1f69b301,survey-multi-choice,8,25,male,English,AmE,""":""I have an English BA.""}",know,"No,",1,stole the money
33cd64a4-b31c-49dc-9ad8-d23c1f69b301,survey-multi-choice,9,25,male,English,AmE,""":""I have an English BA.""}",confess,"No,",1,bought a new car
33cd64a4-b31c-49dc-9ad8-d23c1f69b301,survey-multi-choice,10,25,male,English,AmE,""":""I have an English BA.""}",mnrrc,"No,",1,saw the murder
33cd64a4-b31c-49dc-9ad8-d23c1f69b301,survey-multi-choice,11,25,male,English,AmE,""":""I have an English BA.""}",discover,"No,",1,broke the plate
cbc4132b-03c2-4c7f-9dd6-eef3d02fa785,survey-multi-choice,3,63,male,English,AmE,""":""""}",confirm,"No,",1,lost his key
cbc4132b-03c2-4c7f-9dd6-eef3d02fa785,survey-multi-choice,5,63,male,English,AmE,""":""""}",confess,"No,",1,cheated on his wife
cbc4132b-03c2-4c7f-9dd6-eef3d02fa785,survey-multi-choice,6,63,male,English,AmE,""":""""}",discover,"No,",1,stole the money
cbc4132b-03c2-4c7f-9dd6-eef3d02fa785,survey-multi-choice,7,63,male,English,AmE,""":""""}",be right,"No,",1,saw the murder
cbc4132b-03c2-4c7f-9dd6-eef3d02fa785,survey-multi-choice,8,63,male,English,AmE,""":""""}",mnrrc,"No,",1,broke the plate
cbc4132b-03c2-4c7f-9dd6-eef3d02fa785,survey-multi-choice,9,63,male,English,AmE,""":""""}",fnrrc,"No,",1,bought a new car
cbc4132b-03c2-4c7f-9dd6-eef3d02fa785,survey-multi-choice,10,63,male,English,AmE,""":""""}",know,"Yes, but",0,ate the last cupcake
b8e3338d-18ed-4b24-adb3-35a420f48147,survey-multi-choice,3,28,female,English,AmE,""":""""}",fnrrc,"No,",1,ate the last cupcake
b8e3338d-18ed-4b24-adb3-35a420f48147,survey-multi-choice,4,28,female,English,AmE,""":""""}",confess,"No,",1,bought a new car
b8e3338d-18ed-4b24-adb3-35a420f48147,survey-multi-choice,6,28,female,English,AmE,""":""""}",be right,"No,",1,stole the money
b8e3338d-18ed-4b24-adb3-35a420f48147,survey-multi-choice,7,28,female,English,AmE,""":""""}",discover,"No,",1,saw the murder
b8e3338d-18ed-4b24-adb3-35a420f48147,survey-multi-choice,8,28,female,English,AmE,""":""""}",confirm,"No,",1,cheated on his wife
b8e3338d-18ed-4b24-adb3-35a420f48147,survey-multi-choice,10,28,female,English,AmE,""":""""}",mnrrc,"No,",1,lost his key
b8e3338d-18ed-4b24-adb3-35a420f48147,survey-multi-choice,11,28,female,English,AmE,""":""""}",know,"No,",1,broke the plate
607ed551-ad50-464d-bd8f-9d8b3fbbe475,survey-multi-choice,3,33,female,English,AmE,""":""""}",fnrrc,"Yes, but",0,saw the murder
607ed551-ad50-464d-bd8f-9d8b3fbbe475,survey-multi-choice,4,33,female,English,AmE,""":""""}",know,"No,",1,stole the money
607ed551-ad50-464d-bd8f-9d8b3fbbe475,survey-multi-choice,5,33,female,English,AmE,""":""""}",discover,"No,",1,ate the last cupcake
